PriceCategory,Prefecture,Municipality,DistrictName,TradePrice,Area,BuildingYear,Period,UnitPrice,Age,Latitude,Longitude
成約価格情報,福岡県,北九州市小倉北区,大手町,18000000,75.0,2004,2021,792000.0,17,33.877444,130.870952
成約価格情報,福岡県,北九州市小倉北区,大手町,13000000,90.0,1980,2021,476666.6666666666,41,33.877444,130.870952
成約価格情報,福岡県,北九州市小倉北区,大手町,31000000,85.0,2010,2021,1203529.411764706,11,33.877444,130.870952
不動産取引価格情報,福岡県,北九州市小倉北区,室町,50000000,90.0,2011,2021,1833333.333333333,10,33.88689933333333,130.87581233333336
不動産取引価格情報,福岡県,北九州市小倉北区,三萩野,8500000,70.0,1981,2021,400714.28571428574,40,33.871065666666674,130.88474599999998
不動産取引価格情報,福岡県,北九州市小倉北区,東篠崎,1800000,25.0,1991,2021,237600.0,30,33.865455999999995,130.87513766666666
不動産取引価格情報,福岡県,北九州市小倉北区,東篠崎,2400000,25.0,1991,2021,316800.0,30,33.865455999999995,130.87513766666666
不動産取引価格情報,福岡県,北九州市小倉北区,馬借,17000000,65.0,2001,2021,863076.923076923,20,33.879182333333326,130.87923800000002
不動産取引価格情報,福岡県,北九州市小倉北区,馬借,5500000,55.0,1986,2021,330000.0,35,33.879182333333326,130.87923800000002
不動産取引価格情報,福岡県,北九州市小倉北区,中津口,8800000,65.0,1990,2021,446769.2307692307,31,33.878454500000004,130.8862625
不動産取引価格情報,福岡県,北九州市小倉北区,中津口,11000000,90.0,1990,2021,403333.3333333333,31,33.878454500000004,130.8862625
不動産取引価格情報,福岡県,北九州市小倉北区,中井,17000000,85.0,2005,2021,660000.0,16,33.8907154,130.8484504
不動産取引価格情報,福岡県,北九州市小倉北区,大門,3000000,15.0,1990,2021,660000.0,31,33.8864555,130.872049
不動産取引価格情報,福岡県,北九州市小倉北区,金田,19000000,75.0,2002,2021,836000.0,19,33.87989833333334,130.86424533333334
不動産取引価格情報,福岡県,北九州市小倉北区,大手町,31000000,80.0,2010,2021,1278750.0,11,33.877444,130.870952
成約価格情報,福岡県,北九州市小倉北区,吉野町,4200000,75.0,1975,2021,184800.0,46,33.873753,130.876339
成約価格情報,福岡県,北九州市小倉北区,足立,17000000,90.0,2002,2021,623333.3333333333,19,33.86722433333333,130.90024166666666
成約価格情報,福岡県,北九州市小倉北区,片野,17000000,70.0,2001,2021,801428.5714285715,20,33.8659774,130.88145
成約価格情報,福岡県,北九州市小倉北区,木町,26000000,70.0,2019,2021,1225714.2857142857,2,33.8721965,130.866144
成約価格情報,福岡県,北九州市小倉北区,木町,9300000,60.0,1993,2021,511500.0,28,33.8721965,130.866144
